Food;Measure;Grams;Calories
Wheat-meal cereal,;;;
unrefined;3/4 cup;30;103
Wheat, unground,;;;
cooked;3/4 cup;200;275
Soups: canned and diluted;;;
Bean soups;1 cup;250;190
Beef and vegetable;1 cup;250;100
Bouillon, broth, consommé;1 cup;240;24
chicken or turkey;1 cup;250;75
Clam chowder, without milk;1 cup;255;85
Cream soups (asparagus, celery, etc.);1 cup;255;200
Noodle, rice, barley;1 cup;250;115
Split-pea soup;1 cup;250;147
Tomato soup, diluted w/milk;1 cup;245;175
Vegetable (vegetarian);1 cup;250;80
Desserts and sweets;;;
Apple betty;1 serving;100;150
Bread pudding with raisins;3/4 cup;200;374
Cakes, angel food;1 slice;40;110
Chocolate fudge w/ icing;1 slice;120;420
Cupcake with icing;1;50;160
"Fruit cake, 2"" x 2"" x 4""";1 slice;30;105
"Gingerbread, 2"" cube";1 slice;55;180
Plain, with no icing;1 slice;55;180
Sponge cake, no icing;1 slice;40;115
Candy, caramels;5;25;104
Chocolate creams;2;30;130
"Fudge, plain, 1"" x 1""";2 pieces;90;370
Hard candies;1 oz.;28;90
Marshmallows, large;5;30;98
Milk chocolate;2-oz. bar;56;290
Chocolate syrup;2 T.;40;80
Doughnuts, cake type;1;33;135
Gelatin, made with water;1 cup;239;155
Honey, strained honey, strained;2 T.;42;120
Ice cream, see;;;
Dairy products;;;
Ices, lime, orange, etc.;1 cup;150;117
Jams, marmalades,;;;
preserves;1 T.;20;55
Jellies;1 T.;20;50
Molasses, blackstrap;1 T.;20;45
Cane, refined;1 T.;20;50
Pie, apple, 1/2 of;;;
"9"" diam. pie";1 slice;135;330
Cherry;1 slice;135;340
Custard;1 slice;130;265
Lemon meringue;1 slice;120;300
Mince;1 slice;135;340
Pumpkin;1 slice;130;265
Puddings (see Dairy products);;;
Sugar, beet or cane;1 cup;200;770
3 teaspoons or;1 T.;12;50
Brown, firm-packed, dark;1 cup;220;815
Syrup, maple;2 T.;40;100
table blends;2 T.;40;110
Tapioca cream pudding;1 cup;250;335
Nuts and seeds;;;
Almonds, dried;1/2 cup;70;425
roasted and salted;1/2 cup;70;439
"Brazil nuts; unsalted";1/2 cup;70;457
Cashews, unsalted;1/2 cup;70;392
Coconut, shredded,;;;
sweetened;1/2 cup;50;274
Peanut butter, commercial;1/3 cup;50;300
Peanut butter, natural;1/3 cup;50;284
Peanuts, roasted;1/3 cup;50;290
Pecans, raw, halves;1/2 cup;52;343
Sesame seeds, dry;1/2 cup;50;280
Sunflower seeds;1/2 cup;50;280
Walnuts, English, raw;1/2 cup;50;325
Beverages;;;
Alcoholic;;;
Beer (4% alcohol);2 cups;480;228
Gin, rum, vodka, whiskey (86 proof);1 oz.;28;70
Wines, dessert (I 8.8% alcohol);1/2 cup;120;164
Table (12.2% alcohol);1/2 cup;120;100
Carbonated drinks;;;
Artificially sweetened;12 oz.;346;0
Club soda;12 oz.;346;0
Cola drinks, sweetened;12 oz.;346;137
Fruit-flavored soda;12 oz.;346;161
Ginger ale;12 oz.;346;105
Root beer;12 oz.;346;140
Coffee, black, unsweetened;1 cup;230;3
Tea, clear, unsweetened;1 cup;230;4
