,Average tablespoon (grams),Average tablespoon KG,Source,Average Unit (if applicable) (grams),Average unit (KG),Source,"Median GHG emission ((kg CO2eq/FU, IPCC 2013 incl. CC feedbacks)"
Artichokes,,0.01,ADEME,120,0.12,,1.494
Asparagus,,0.01,ADEME,20,0.02,,1.702666667
Avocado,,0.01,ADEME,170,0.17,,1.2
Bacon,,0.01,ADEME,N/A,N/A,,4.46
Banana,,0.01,ADEME,118,0.118,,0.929
Beef,,0.01,ADEME,N/A,N/A,,32.0025
Beef steak,,0.01,ADEME,N/A,N/A,,32.2
Beer,,0.01,ADEME,N/A,N/A,,2.67
Beet,,0.01,ADEME,150,0.15,,0.2275
Biscuit,,0.01,ADEME,N/A,N/A,,4.5
Bottle of beer,,0.01,ADEME,N/A,N/A,,0.1903435343
Bowl of cereal,,0.01,ADEME,N/A,N/A,,0.08380066857
Bread,,0.01,ADEME,N/A,N/A,,0.3590780756
Broccoli,,0.01,ADEME,225,0.225,,0.396
Broiler meat,,0.01,ADEME,N/A,N/A,,3.16
Butter,,0.01,ADEME,N/A,N/A,,9.981666667
Cabbage,,0.01,ADEME,750,0.75,,0.461
Carrot,,0.01,ADEME,61,0.061,,0.29
Cauliflower,,0.01,ADEME,840,0.84,,0.523
Celery,,0.01,ADEME,60,0.06,,0.8115
Cereals,,0.01,ADEME,N/A,N/A,,1.03
Cherry,,0.01,ADEME,N/A,N/A,,1.33
Chicken,,0.01,ADEME,1500,1.5,,5.249
Chicken breast,,0.01,ADEME,180,0.18,,4.825
Chicken thigh,,0.01,ADEME,52,0.052,,4.49
Chilli and pepper,,0.01,ADEME,100,0.1,,3.36
Chips,,0.01,ADEME,N/A,N/A,,0.09941993571
Chocolate,,0.01,ADEME,N/A,N/A,,2.435764644
Cinnamon,,0.01,ADEME,N/A,N/A,,2.19
Coffee,,0.01,ADEME,N/A,N/A,,9.42
Courgette,,0.01,ADEME,124,0.124,,0.6345
Couscous,,0.01,ADEME,N/A,N/A,,1.406405154
Cream,,0.01,ADEME,N/A,N/A,,4.16
Cucumber,,0.01,ADEME,160,0.16,,1.906666667
Cup of coffee,,0.01,ADEME,N/A,N/A,,0.014377186
Duck breast,,0.01,ADEME,160,0.16,,2.247734039
Eggplant,,0.01,ADEME,550,0.55,,3.316
Endive,,0.01,ADEME,85,0.085,,0.9745
Flour,,0.01,ADEME,N/A,N/A,,1.17
Farm guinea fowl,,0.01,ADEME,N/A,N/A,,6.462
Goat meat,,0.01,ADEME,N/A,N/A,,12.6
Grape,,0.01,ADEME,N/A,N/A,,0.7225
Great wine / champagne,,0.01,ADEME,N/A,N/A,,2.933
Green beans,,0.01,ADEME,N/A,N/A,,11.4055
Green lentils,,0.01,ADEME,N/A,N/A,,0.5915
Green salad,,0.01,ADEME,300,0.3,,0.02441356533
Hot chocolate,,0.01,ADEME,N/A,N/A,,0.1679725743
Ketchup,,0.01,ADEME,N/A,N/A,,2.4
Kid meat,,0.01,ADEME,N/A,N/A,,14.3
Lamb,,0.01,ADEME,N/A,N/A,,32.953
Lamb meat,,0.01,ADEME,N/A,N/A,,11.8
Bacon,,0.01,ADEME,N/A,N/A,,5.58
Leek,,0.01,ADEME,90,0.09,,0.2945
Lemon,,0.01,ADEME,20,0.02,,0.7055
Dried yeast,,0.01,ADEME,N/A,N/A,,3.204
Mandarin orange,,0.01,ADEME,88,0.088,,1.0235
Mango,,0.01,ADEME,336,0.336,,12.69625
Margarine,,0.01,ADEME,N/A,N/A,,2.74
Corn,,0.01,ADEME,173,0.173,,0.701
Melon,,0.01,ADEME,152,0.152,,0.417
Mussels,,0.01,ADEME,N/A,N/A,,8.015
Mustard,,0.01,ADEME,N/A,N/A,,3.27
Olives,,0.01,ADEME,N/A,N/A,,1.289
Onions,,0.01,ADEME,125,0.125,,0.607
Orange,,0.01,ADEME,140,0.14,,0.2610767136
Pasta,,0.01,ADEME,N/A,N/A,,0.9875
Pastries,,0.01,ADEME,N/A,N/A,,2.476666667
Peach,,0.01,ADEME,147,0.147,,0.6893333333
Pear,,0.01,ADEME,178,0.178,,0.7773333333
Pepper,,0.01,ADEME,N/A,N/A,,0.8845
Pork,,0.01,ADEME,N/A,N/A,,5.362
Pork meat,,0.01,ADEME,N/A,N/A,,6.096666667
Pork sausage,,0.01,ADEME,130,0.13,,5.24
Pumpkin,,0.01,ADEME,1000,1,,0.9745
Rabbit,,0.01,ADEME,N/A,N/A,,6.48
Rabbit meat,,0.01,ADEME,N/A,N/A,,4.94
Radish,,0.01,ADEME,9,0.009,,4.4245
Sea bass or Dorade,,0.01,ADEME,160,0.16,,12
Semolina,,0.01,ADEME,N/A,N/A,,1.2
Mutton,,0.01,ADEME,N/A,N/A,,24.552
Soft drink,,0.01,ADEME,N/A,N/A,,1.09
Spices,,0.01,ADEME,N/A,N/A,,2.19
Spinach,,0.01,ADEME,N/A,N/A,,0.486
Strawberries,,0.01,ADEME,N/A,N/A,,1.614833333
Sugar,,0.01,ADEME,N/A,N/A,,0.9314
Sunflower oil,,0.01,ADEME,N/A,N/A,,1.429
Sushi,,0.01,ADEME,N/A,N/A,,1.12
Sushis,,0.01,ADEME,N/A,N/A,,0.2927765567
Tomato sauce,,0.01,ADEME,N/A,N/A,,2.94
Trout,,0.01,ADEME,160,0.16,,2.94
Trout or salmon,,0.01,ADEME,160,0.16,,5.6925
Tuna,,0.01,ADEME,160,0.16,,3.555
Turkey breast,,0.01,ADEME,160,0.16,,6.38
Turkey meat,,0.01,ADEME,N/A,N/A,,4.54
Turnip,,0.01,ADEME,460,0.46,,0.819
Vanilla pod,,0.01,ADEME,N/A,N/A,,2.61
Veal,,0.01,ADEME,N/A,N/A,,32.86833333
Water,,0.01,ADEME,N/A,N/A,,0.000168
White bean,,0.01,ADEME,N/A,N/A,,1.785
Wine vinegar,,0.01,ADEME,N/A,N/A,,4.17
Yogurts,,0.01,ADEME,80,0.08,,2.524
